x;y;z;w
T1-2011;2718223074;3854697135;-1136474061
T2-2011;2701982005;4394285465;-1692303460
T3-2011;2494058890;4250294594;-1756235704
T4-2011;2486780872;4113617964;-1626837092
T1-2012;2637641885;4127454909;-1489813024
T2-2012;2577114167;4347332199;-1770218032
T3-2012;2398516538;4146753495;-1748236957
T4-2012;2364366568;4372402548;-2008035980
T1-2013;2606486767;4148760077;-1542273310
T2-2013;2662118708;4588816646;-1926697938
T3-2013;2364573217;4393189725;-2028616508
T4-2013;2396933184;4384212483;-1987279299
T1-2014;2698912994;4376926898;-1678013904
