x;y
Guatemala;17.4108594343
El Progreso;1.0577652541
Sacatepequez;1.7958166251
Chimaltenango;4.2126368267
Escuintla;4.1042592392
Santa Rosa;2.3225317004
Solola;2.74303674
Totonicapan;3.2112279181
Quetzaltenango;5.1891188902
Suchitepequez;3.6707488891
Retalhuleu;2.1957299231
San Marcos;7.9050612333
Huehuetenango;9.791915032
Quiche;8.0329467866
Baja Verapaz;2.2141541129
Alta Verapaz;8.2605397204
Peten;3.7476969763
Izabal;2.3582963043
Zacapa;1.4164950688
Chiquimula;2.9326975182
Jalapa;2.4861818576
Jutiapa;2.8741736209
Extranjero;0.0585238973
Ignorado;5.4
